[16:20:37 831], [H<-V1] : CONNECT,END
[16:20:37 838], [H<-V2] : CONNECT,END
[16:20:37 839], [H<-V3] : CONNECT,END
[16:20:37 839], [H<-V4] : CONNECT,END
[16:20:43 688], [H<-V1] : CONNECT,REQUEST
[16:20:43 688], [H<-V2] : CONNECT,REQUEST
[16:20:43 690], [H<-V3] : CONNECT,REQUEST
[16:20:43 691], [H<-V4] : CONNECT,REQUEST
[16:20:46 742], [H<-V1] : CONNECT,REPLY
[16:20:46 744], [H<-V2] : CONNECT,REPLY
[16:20:46 745], [H<-V3] : CONNECT,REPLY
[16:20:46 747], [H<-V4] : CONNECT,REPLY
[16:20:47 621], [H<-V1] : STATUS,UPDATE,0
[16:20:47 622], [H<-V2] : STATUS,UPDATE,0
[16:20:47 623], [H<-V3] : STATUS,UPDATE,0
[16:20:47 628], [H<-V4] : STATUS,UPDATE,0
[16:20:47 632], [H<-V1] : STATUS,REQUEST
[16:20:47 633], [H<-V2] : STATUS,REQUEST
[16:20:47 634], [H<-V3] : STATUS,REQUEST
[16:20:47 635], [H<-V4] : STATUS,REQUEST
[16:20:50 383], [H<-V1] : STATUS,UPDATE,0
[16:20:50 384], [H<-V2] : STATUS,UPDATE,0
[16:20:50 385], [H<-V3] : STATUS,UPDATE,0
[16:20:50 386], [H<-V4] : STATUS,UPDATE,0
[16:20:50 386], [H<-V1] : INITIAL,REQUEST
[16:20:50 387], [H<-V2] : INITIAL,REQUEST
[16:20:50 387], [H<-V3] : INITIAL,REQUEST
[16:20:50 388], [H<-V4] : INITIAL,REQUEST
[16:21:04 110], [H<-V1] : STATUS,UPDATE,1
[16:21:04 110], [H<-V2] : STATUS,UPDATE,1
[16:21:04 112], [H<-V3] : STATUS,UPDATE,1
[16:21:04 113], [H<-V4] : STATUS,UPDATE,1
[16:21:04 114], [H<-V1] : TIME,UPDATE,2025-09-29 16:21:04 108
[16:21:04 114], [H<-V2] : TIME,UPDATE,2025-09-29 16:21:04 108
[16:21:04 115], [H<-V3] : TIME,UPDATE,2025-09-29 16:21:04 108
[16:21:04 115], [H<-V4] : TIME,UPDATE,2025-09-29 16:21:04 108
[16:21:25 672], [H<-V1] : STATUS,UPDATE,2
[16:21:25 673], [H<-V2] : STATUS,UPDATE,2
[16:21:25 675], [H<-V3] : STATUS,UPDATE,2
[16:21:25 676], [H<-V4] : STATUS,UPDATE,2
[16:22:15 374], [H<-V1] : LOT,START,AAAA1,1,1,40,A53B_DPAMS_REV0,0000,0000,,,1
[16:22:15 377], [H<-V2] : LOT,START,AAAA1,1,1,40,A53B_DPAMS_REV0,0000,0000,,,1
[16:22:15 384], [H<-V3] : LOT,START,AAAA1,1,1,40,A53B_DPAMS_REV0,0000,0000,,,1
[16:22:15 388], [H<-V4] : LOT,START,AAAA1,1,1,40,A53B_DPAMS_REV0,0000,0000,,,1
